 ,smoc2_fibrosis1,smoc2_fibrosis4,smoc2_normal1,smoc2_normal3,smoc2_fibrosis3,smoc2_normal4,smoc2_fibrosis2
ENSMUSG00000104025,9,1,2,6,3,1,8
ENSMUSG00000025916,12,16,4,3,15,3,10
ENSMUSG00000087199,0,0,0,1,0,0,0
ENSMUSG00000095780,0,0,0,0,0,0,0
ENSMUSG00000025917,1799,1319,927,1168,1541,1230,1322
ENSMUSG00000056763,1608,1206,904,1051,1382,1007,1262
ENSMUSG00000102356,0,0,0,0,0,0,0
ENSMUSG00000067851,6073,4032,3291,2982,3884,3812,4864
ENSMUSG00000088153,1,0,3,1,2,0,3
ENSMUSG00000102556,1,0,0,1,0,0,2
ENSMUSG00000042501,0,0,0,0,0,0,5
ENSMUSG00000103810,0,0,0,0,0,0,0
ENSMUSG00000083422,2,1,0,3,0,1,1
ENSMUSG00000094979,0,0,0,0,0,0,0
ENSMUSG00000081417,0,0,0,0,0,0,1
ENSMUSG00000103448,2,0,0,0,0,0,0
ENSMUSG00000100212,0,0,0,0,0,0,0
ENSMUSG00000100648,0,1,0,0,0,1,0
ENSMUSG00000088585,0,0,0,0,0,0,0
ENSMUSG00000048960,592,503,219,239,500,188,594
ENSMUSG00000077318,0,0,0,0,1,0,0
ENSMUSG00000101827,0,1,0,3,2,0,0
ENSMUSG00000103494,0,0,0,0,0,0,0
ENSMUSG00000057715,0,3,0,1,7,0,2
ENSMUSG00000103825,0,0,0,0,0,0,0
ENSMUSG00000099845,0,0,0,0,0,0,0
ENSMUSG00000103561,0,0,0,0,0,0,0
ENSMUSG00000101610,1,0,3,1,1,4,0
ENSMUSG00000093864,0,0,0,0,0,0,0
ENSMUSG00000098555,0,0,0,0,0,0,0
ENSMUSG00000097628,1,2,1,5,0,6,1
ENSMUSG00000098163,0,0,0,0,0,0,0
ENSMUSG00000097171,0,0,1,0,0,0,0
ENSMUSG00000101314,0,0,0,0,0,0,0
ENSMUSG00000016918,1801,483,79,75,906,68,878
ENSMUSG00000025938,37,32,2,0,24,1,26
ENSMUSG00000104518,0,0,0,0,0,0,0
ENSMUSG00000069620,0,0,0,0,0,0,0
ENSMUSG00000099498,0,0,0,0,0,0,0
ENSMUSG00000042414,0,0,0,0,0,0,0
ENSMUSG00000005886,2095,1649,1613,1146,1487,1729,1888
ENSMUSG00000103506,1,0,1,0,3,0,1
ENSMUSG00000103495,2,0,3,0,0,0,0
ENSMUSG00000099183,1,0,0,0,0,0,0
ENSMUSG00000102639,0,1,1,0,0,0,0
ENSMUSG00000104170,0,0,0,0,0,0,0
ENSMUSG00000087782,0,0,2,0,0,0,0
ENSMUSG00000103085,6,5,9,6,4,0,1
ENSMUSG00000102664,3,0,5,0,1,2,2
ENSMUSG00000101476,1,2,2,1,1,1,2
ENSMUSG00000101171,0,4,3,4,3,3,1
ENSMUSG00000025935,5097,3906,2478,2807,4714,3002,4337
ENSMUSG00000025937,3706,3879,12394,13363,4047,15252,3402
ENSMUSG00000102982,40,29,91,65,20,84,41
ENSMUSG00000067813,12,5,11,7,6,9,1
ENSMUSG00000077368,0,0,0,0,0,0,0
ENSMUSG00000097711,15,13,15,12,13,10,18
ENSMUSG00000102166,0,0,0,0,0,0,0
ENSMUSG00000089358,0,0,0,0,0,0,0
ENSMUSG00000104209,0,0,0,0,0,0,0
ENSMUSG00000025932,4,5,4,5,6,0,3
ENSMUSG00000095853,0,0,0,0,0,0,0
ENSMUSG00000102588,0,0,0,0,0,0,0
ENSMUSG00000054493,3,1,0,0,1,0,3
ENSMUSG00000025930,20,8,0,0,12,0,17
ENSMUSG00000103492,1,0,0,0,0,0,0
ENSMUSG00000081201,2,1,0,0,0,0,0
ENSMUSG00000082193,1,5,0,1,3,2,3
ENSMUSG00000032769,1,1,0,0,0,0,0
ENSMUSG00000088159,0,0,0,0,0,0,0
ENSMUSG00000073737,6,5,6,10,4,6,1
ENSMUSG00000092083,21,22,2,2,25,1,21
ENSMUSG00000102937,0,0,0,0,0,0,0
ENSMUSG00000104149,0,0,0,1,0,0,0
ENSMUSG00000088829,0,0,0,0,0,0,0
ENSMUSG00000077377,0,0,0,0,0,0,0
ENSMUSG00000101652,0,0,0,0,0,0,0
ENSMUSG00000100814,0,0,0,0,0,0,0
ENSMUSG00000025925,518,437,184,252,482,218,353
ENSMUSG00000104379,9,9,6,10,5,6,6
ENSMUSG00000032719,12,6,6,17,10,13,28
ENSMUSG00000088943,0,0,0,0,0,0,0
ENSMUSG00000100652,5,4,0,0,2,0,8
ENSMUSG00000067795,35,45,5,2,29,10,24
ENSMUSG00000043716,15517,11759,5012,7218,14304,6524,11584
ENSMUSG00000025921,4007,2338,836,895,2907,976,3277
ENSMUSG00000104165,1,1,1,0,0,0,0
ENSMUSG00000100868,6,3,1,1,7,3,6
ENSMUSG00000025920,1129,794,648,642,868,736,896
ENSMUSG00000089982,2,7,3,2,4,1,2
ENSMUSG00000025939,1499,1204,719,806,1390,879,1174
ENSMUSG00000102457,5,2,2,2,2,0,2
ENSMUSG00000079658,1293,975,736,891,1292,827,1090
ENSMUSG00000097744,0,0,0,0,2,0,0
ENSMUSG00000100959,2,0,2,6,0,7,2
ENSMUSG00000025940,935,642,1027,1106,871,1270,774
ENSMUSG00000025779,162,140,47,55,137,58,81
ENSMUSG00000100093,0,0,0,0,0,0,0
ENSMUSG00000091020,63,37,14,19,43,35,49
ENSMUSG00000101640,0,0,0,0,0,0,0
ENSMUSG00000104133,0,0,0,0,0,0,0
ENSMUSG00000042686,56,48,49,42,59,53,41
ENSMUSG00000100110,0,0,0,0,0,0,0
ENSMUSG00000025777,6,8,0,0,4,0,3
ENSMUSG00000099899,0,0,0,0,0,0,0
ENSMUSG00000100272,0,0,0,0,0,0,0
ENSMUSG00000100398,1,0,0,0,0,0,0
ENSMUSG00000101589,7,4,1,2,5,2,11
ENSMUSG00000102048,0,0,1,0,0,0,0
ENSMUSG00000089534,0,0,0,0,0,0,0
ENSMUSG00000067780,343,206,39,35,252,25,287
ENSMUSG00000100053,0,3,3,3,4,4,0
ENSMUSG00000085125,1,1,1,2,0,0,2
ENSMUSG00000025776,12,28,40,33,27,23,8
ENSMUSG00000099895,0,0,0,0,0,1,0
ENSMUSG00000100554,0,0,0,0,0,0,0
ENSMUSG00000099473,0,0,0,0,0,0,0
ENSMUSG00000099591,0,0,0,0,1,0,0
ENSMUSG00000102001,0,0,0,0,0,0,0
ENSMUSG00000101717,0,0,0,0,0,0,0
ENSMUSG00000025774,0,0,0,0,0,0,0
ENSMUSG00000070977,0,0,0,0,0,0,0
ENSMUSG00000073735,0,0,0,0,0,0,0
ENSMUSG00000067773,0,0,0,0,0,0,0
ENSMUSG00000101685,2,0,0,0,0,0,1
ENSMUSG00000101738,0,0,0,0,0,0,0
ENSMUSG00000101306,0,0,0,0,0,0,0
ENSMUSG00000088800,0,0,0,0,0,0,0
ENSMUSG00000101644,0,0,0,0,0,0,0
ENSMUSG00000099433,0,0,0,0,0,0,0
ENSMUSG00000089787,0,0,0,0,0,0,0
ENSMUSG00000042596,0,0,0,0,0,0,0
ENSMUSG00000100720,1,1,0,0,0,0,1
ENSMUSG00000025927,1872,1555,1500,1259,1697,1752,1487
ENSMUSG00000100538,1,0,2,1,0,0,1
ENSMUSG00000101117,0,0,0,0,0,0,0
ENSMUSG00000100204,4,2,2,1,2,2,3
ENSMUSG00000084668,0,0,0,0,0,0,0
ENSMUSG00000102597,0,0,0,0,0,0,0
ENSMUSG00000043760,11447,7482,5235,4124,6945,5501,8383
ENSMUSG00000104095,27,35,22,4,34,10,28
ENSMUSG00000089914,1,0,2,3,0,2,3
ENSMUSG00000090142,2,3,4,1,9,4,5
ENSMUSG00000070175,0,0,1,0,2,1,1
ENSMUSG00000065559,0,0,0,0,0,0,0
ENSMUSG00000099906,0,0,0,0,1,1,0
ENSMUSG00000065480,0,0,0,0,0,0,0
ENSMUSG00000025929,5,0,0,0,2,0,0
ENSMUSG00000041872,6,4,38,29,7,31,7
ENSMUSG00000041859,892,764,107,111,779,68,842
ENSMUSG00000099714,0,0,0,0,0,0,0
ENSMUSG00000102121,0,0,0,0,0,0,0
ENSMUSG00000088858,0,0,0,0,0,0,0
ENSMUSG00000097934,3,11,0,1,12,0,2
ENSMUSG00000025931,215,205,24,46,182,34,140
ENSMUSG00000077314,0,0,0,0,0,0,0
ENSMUSG00000100929,0,0,0,0,0,0,0
ENSMUSG00000041809,131,122,7,22,80,15,60
ENSMUSG00000041779,1294,768,256,395,961,392,881
ENSMUSG00000099971,1,0,1,0,0,1,0
ENSMUSG00000100819,20,8,16,12,9,14,6
ENSMUSG00000025933,101,109,76,134,157,124,92
ENSMUSG00000102633,1,0,0,0,0,0,0
ENSMUSG00000025934,402,430,1469,1516,854,1889,535
ENSMUSG00000099343,0,1,0,0,0,0,0
ENSMUSG00000096375,2,2,0,1,3,2,1
ENSMUSG00000025936,2,12,34,45,21,25,9
ENSMUSG00000093963,0,0,0,0,0,0,0
ENSMUSG00000067750,0,0,0,0,0,0,0
ENSMUSG00000086194,0,0,0,0,0,0,0
ENSMUSG00000094436,0,0,0,0,0,0,0
ENSMUSG00000041722,0,0,0,0,0,0,0
ENSMUSG00000085507,0,0,0,0,0,0,0
ENSMUSG00000094926,0,0,0,0,0,0,0
ENSMUSG00000085079,0,0,0,0,0,0,0
ENSMUSG00000085679,0,0,0,0,0,0,0
ENSMUSG00000028033,3,9,1,2,11,3,10
ENSMUSG00000104138,0,0,0,0,0,0,0
ENSMUSG00000082935,89,70,59,90,154,61,114
ENSMUSG00000103748,0,0,0,0,0,0,0
ENSMUSG00000097109,3,0,0,0,5,0,0
ENSMUSG00000099692,0,0,0,0,0,0,0
ENSMUSG00000100418,0,0,0,0,0,0,0
ENSMUSG00000041670,1,0,0,5,0,0,0
ENSMUSG00000097642,0,0,0,0,0,0,0
ENSMUSG00000101468,0,0,0,0,0,0,0
ENSMUSG00000101227,0,0,0,0,0,0,0
ENSMUSG00000073730,0,0,0,0,0,1,0
ENSMUSG00000089553,0,0,0,0,0,0,0
ENSMUSG00000102766,0,0,0,0,0,0,0
ENSMUSG00000065405,0,0,0,0,0,0,0
ENSMUSG00000097970,21,44,29,31,21,40,17
ENSMUSG00000065567,0,0,0,0,0,0,0
ENSMUSG00000100775,0,3,0,5,0,1,1
ENSMUSG00000101226,0,0,0,0,0,0,0
ENSMUSG00000026158,983,651,420,303,645,331,646
ENSMUSG00000097920,2,1,4,2,2,1,3
ENSMUSG00000099503,0,0,0,0,0,0,0
ENSMUSG00000026156,1159,1277,1760,1745,1569,3062,1275
ENSMUSG00000026155,615,468,310,296,466,320,518
ENSMUSG00000026154,245,172,191,265,287,267,207
ENSMUSG00000102495,0,1,0,0,0,1,2
ENSMUSG00000026153,1253,1029,620,608,1111,673,981
ENSMUSG00000102398,2,1,0,1,0,0,1
ENSMUSG00000097670,0,0,0,0,0,0,0
ENSMUSG00000026147,0,0,0,0,0,0,0
ENSMUSG00000026141,0,3,0,5,1,3,0
ENSMUSG00000077463,0,0,0,0,0,0,0
ENSMUSG00000099997,1,1,0,0,2,0,4
ENSMUSG00000100131,2,1,0,2,1,1,2
ENSMUSG00000067736,0,0,0,0,0,1,0
ENSMUSG00000101939,57,35,200,135,76,111,93
ENSMUSG00000101111,3,0,6,7,2,10,1
ENSMUSG00000100862,1,2,4,4,2,4,7
ENSMUSG00000102070,2,2,4,6,4,12,2
ENSMUSG00000101249,33,25,82,87,47,151,45
ENSMUSG00000073725,1937,1735,1546,1540,1698,1923,1503
ENSMUSG00000100808,0,0,0,0,0,0,0
ENSMUSG00000100483,0,0,0,0,0,0,0
ENSMUSG00000100450,0,0,0,0,0,0,0
ENSMUSG00000099392,0,0,0,0,0,0,0
