"Cluster","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Down","Metabolism","Amino acid metabolism","mmu00250","Alanine, aspartate and glutamate metabolism","16/1010","39/9575",0.41025641025641,3.88931200812389,6.20850935226329,7.5140061645515e-07,5.54366677029133e-06,4.20081280310599e-06,"14645/11898/14415/212647/109900/53320/14719/14661/11484/214579/11565/268782/76282/268860/52633/14718",16
"Down","Metabolism","Xenobiotics biodegradation and metabolism","mmu00982","Drug metabolism - cytochrome P450","22/1010","72/9575",0.305555555555556,2.89672717271727,5.54733590632701,2.62988689539382e-06,1.89809228102336e-05,1.43831342791561e-05,"14859/71724/394430/394434/94284/22236/394436/226564/14261/55990/14262/66447/68312/76263/13106/103140/14872/14857/100042314/14858/73458/68214",22
"Down","Metabolism","Lipid metabolism","mmu00561","Glycerolipid metabolism","20/1010","63/9575",0.317460317460317,3.00958667295301,5.49521654159938,3.87146622544381e-06,2.73473784435605e-05,2.07229659099904e-05,"68393/56752/14933/72535/58810/231510/11669/23945/67800/233549/28169/16956/235582/14245/217480/116939/110695/225913/14732/18946",20
"Down","Metabolism","Metabolism of other amino acids","mmu00430","Taurine and hypotaurine metabolism","11/1010","22/9575",0.5,4.74009900990099,6.03070750903076,4.00973184490595e-06,2.77339785939328e-05,2.10159190993974e-05,"226564/14261/55990/14262/14415/209186/230161/12012/14598/71522/246277",11
"Down","Metabolism","Xenobiotics biodegradation and metabolism","mmu00980","Metabolism of xenobiotics by cytochrome P450","22/1010","76/9575",0.289473684210526,2.74426784783742,5.24233466772832,7.05975157049069e-06,4.7833418804141e-05,3.62466299752368e-05,"14859/394430/394434/94284/22236/394436/66447/68312/110198/76263/13107/13106/103140/14872/13076/14857/100042314/14858/77337/12408/73458/68214",22
"Down","Metabolism","Metabolism of other amino acids","mmu00450","Selenocompound metabolism","9/1010","17/9575",0.529411764705882,5.01892836342458,5.69501572337739,1.73035476620303e-05,0.000112642702427334,8.5357025618684e-05,"50880/70266/23971/229905/107869/21743/20768/26462/23972",9
"Down","Metabolism","Energy metabolism","mmu00910","Nitrogen metabolism","9/1010","17/9575",0.529411764705882,5.01892836342458,5.69501572337739,1.73035476620303e-05,0.000112642702427334,8.5357025618684e-05,"14645/23831/12319/230099/12354/12352/14661/76459/12351",9
"Down","Metabolism","Metabolism of cofactors and vitamins","mmu00770","Pantothenate and CoA biosynthesis","10/1010","21/9575",0.476190476190476,4.51438000942951,5.5361705865001,1.93573381810817e-05,0.000123589159156137,9.36518992971364e-05,"99586/72535/11669/12035/12036/22361/103149/71743/246277/75735",10
"Down","Metabolism","Amino acid metabolism","mmu00310","Lysine degradation","19/1010","64/9575",0.296875,2.81443378712871,5.00105620429634,1.98662111253628e-05,0.00012444494516265,9.43003864739167e-05,"269132/56752/209692/170442/15107/72535/97212/11669/30956/93747/23923/270076/110446/235386/13382/78920/74147/110460/110695",19
"Down","Metabolism","Lipid metabolism","mmu00590","Arachidonic acid metabolism","23/1010","89/9575",0.258426966292135,2.44993881410613,4.71896584301911,3.38185332464664e-05,0.000207921352552349,0.000157556129549814,"66350/71519/242546/546837/100066/665095/13109/13119/13117/666168/100040843/18781/66469/13094/13106/14598/625249/15446/13850/11684/77219/12408/100043108",23
"Down","Metabolism","Carbohydrate metabolism","mmu00053","Ascorbate and aldarate metabolism","12/1010","31/9575",0.387096774193548,3.66975407218141,5.11246801564717,3.72493218852542e-05,0.000224850452107353,0.00017038445800145,"394430/394434/94284/22236/394436/56752/72535/58810/11669/16591/56727/110695",12
"Down","Metabolism","Metabolism of cofactors and vitamins","mmu00830","Retinol metabolism","25/1010","102/9575",0.245098039215686,2.3235779460299,4.61476461829633,4.12377730751063e-05,0.000244481083230987,0.000185259920393804,"71724/394430/394434/94284/22236/394436/79235/13119/13117/666168/100040843/20148/67442/232174/13094/13086/13087/19683/216453/216454/54150/19682/28200/13076/100043108",25
"Down","Metabolism","Carbohydrate metabolism","mmu00040","Pentose and glucuronate interconversions","13/1010","36/9575",0.361111111111111,3.42340484048405,5.00229744237839,4.20507264407121e-05,0.000244927038216078,0.000185597850772488,"394430/394434/94284/22236/394436/20322/75578/58810/16591/68631/102448/216558/67880",13
"Down","Metabolism","Lipid metabolism","mmu00140","Steroid hormone biosynthesis","24/1010","99/9575",0.242424242424242,2.2982298229823,4.45861905364725,7.05453000205506e-05,0.000403811027703841,0.000305995040016544,"394430/394434/94284/22236/394436/100043461/100043456/15496/15493/15494/208665/13094/13106/15484/13076/192970/105349/77337/13105/380997/76279/94224/100043108/13074",24
"Down","Human Diseases","Drug resistance: antineoplastic","mmu01523","Antifolate resistance","11/1010","29/9575",0.379310344827586,3.59593717992489,4.80757620907994,9.79409292085263e-05,0.000551125228766623,0.000417625014823154,"14287/26357/14275/108037/20425/11684/52466/76408/13361/12780/12675",11
"Down","Metabolism","Amino acid metabolism","mmu00220","Arginine biosynthesis","9/1010","21/9575",0.428571428571429,4.06294200848656,4.82502444529084,0.00014142779350561,0.000782567124064375,0.000593004256979663,"14645/11898/18125/109900/14719/14661/109652/76282/14718",9
"Down","Metabolism","Amino acid metabolism","mmu00340","Histidine metabolism","10/1010","26/9575",0.384615384615385,3.64623000761615,4.63958389308315,0.000177974800025833,0.00096864973128814,0.000734011686042693,"56752/140483/15186/72535/11669/243537/11484/110695/338403/73458",10
"Down","Organismal Systems","Excretory system","mmu04966","Collecting duct acid secretion","10/1010","27/9575",0.37037037037037,3.51118445177851,4.48691668512423,0.000256181375640075,0.00137180994697588,0.00103951356159555,"338375/56365/140494/76252/110935/11973/11944/20533/68775/11964",10
"Down","Organismal Systems","Digestive system","mmu04975","Fat digestion and absorption","13/1010","43/9575",0.302325581395349,2.86610637807967,4.21135956522602,0.000329861812124983,0.00173831939088086,0.00131724265827687,"66350/17777/18781/12491/67800/233549/14719/11808/110446/237636/238055/110460/18946",13
"Down","Organismal Systems","Digestive system","mmu04978","Mineral absorption","15/1010","55/9575",0.272727272727273,2.58550855085509,4.04925543650885,0.000410882748907271,0.00213145425995647,0.00161514764784273,"11931/142681/12309/11928/11941/14325/11979/11936/171429/52466/20505/74338/105243/20541/14319",15
"Down","Organismal Systems","Endocrine system","mmu04913","Ovarian steroidogenesis","16/1010","64/9575",0.25,2.3700495049505,3.77621637423783,0.000767698471095819,0.00392116757544326,0.00297133497314819,"100043461/100043456/15496/15493/15494/242546/546837/100066/665095/13109/16334/13076/26897/171282/171281/13074",16
"Down","Metabolism","Amino acid metabolism","mmu00360","Phenylalanine metabolism","8/1010","21/9575",0.380952380952381,3.61150400754361,4.11387830408158,0.000862801771665922,0.00434015436656191,0.0032888297197473,"15445/17319/18478/14719/13195/73458/240549/14718",8
"Down","Organismal Systems","Endocrine system","mmu04922","Glucagon signaling pathway","22/1010","104/9575",0.211538461538462,2.00542650418888,3.54007771125356,0.00105435585155589,0.00522456929427694,0.00395901097442038,"18795/18534/18597/20526/108079/19017/100705/232493/102093/68263/75600/56012/14377/14527/14121/110095/19013/12895/18642/17691/12894/18648",22
"Down","Metabolism","Lipid metabolism","mmu00120","Primary bile acid biosynthesis","7/1010","18/9575",0.388888888888889,3.68674367436744,3.91782839403781,0.00158920968498865,0.00765953063680121,0.00580414655103199,"209186/230161/12012/20280/208665/93732/17117",7
"Down","Organismal Systems","Digestive system","mmu04979","Cholesterol metabolism","13/1010","50/9575",0.26,2.46485148514852,3.56606964393047,0.00159189040343158,0.00765953063680121,0.00580414655103199,"11807/27413/14725/320024/30924/12491/16976/16956/12684/11814/11808/22333/238055",13
"Down","Metabolism","Metabolism of terpenoids and polyketides","mmu00900","Terpenoid backbone biosynthesis","8/1010","23/9575",0.347826086956522,3.29746018080069,3.78798690453866,0.0017161938823535,0.00813966241344802,0.00616797500575167,"56075/71365/52014/192156/110446/15357/208715/110460",8
"Down","Organismal Systems","Digestive system","mmu04974","Protein digestion and absorption","22/1010","108/9575",0.203703703703704,1.93115144847818,3.34171745524625,0.00176812814952043,0.00826786684001102,0.00626512420660315,"12829/12828/11931/170745/17380/11928/77018/373864/30962/20540/50934/56373/11936/245026/74338/105243/17287/20541/20532/17288/17254/20510",22
"Down","Metabolism","Amino acid metabolism","mmu00350","Tyrosine metabolism","11/1010","40/9575",0.275,2.60705445544554,3.49738912253901,0.00220847198691736,0.0101835097174523,0.00771673691335161,"71724/15445/14085/17319/14719/13195/14874/15233/68636/73458/14718",11
"Down","Human Diseases","Cancer: overview","mmu05204","Chemical carcinogenesis - DNA adducts","19/1010","90/9575",0.211111111111111,2.00137513751375,3.27750306353866,0.0023082419674502,0.0104765551866158,0.00793879736715658,"14859/394430/394434/94284/22236/394436/66447/68312/76263/13106/103140/14872/13076/14857/100042314/14858/12408/100043108/68214",19
"Down","Environmental Information Processing","Membrane transport","mmu02010","ABC transporters","13/1010","52/9575",0.25,2.3700495049505,3.40169016648951,0.00233513579460715,0.0104765551866158,0.00793879736715658,"27413/19299/11304/18671/18669/74610/26357/27421/268379/76408/19300/27410/12780",13
"Down","Metabolism","Metabolism of cofactors and vitamins","mmu00860","Porphyrin metabolism","12/1010","47/9575",0.25531914893617,2.42047609016221,3.35216739439687,0.00281103359358449,0.0124435087076007,0.00942929163321676,"394430/394434/94284/22236/394436/17025/14325/11655/12892/14151/14319/226139",12
"Down","Organismal Systems","Endocrine system","mmu04920","Adipocytokine signaling pathway","16/1010","72/9575",0.222222222222222,2.10671067106711,3.23678383050241,0.00289087970655364,0.0126285797707343,0.00956953254662495,"20183/18534/108079/56717/12491/19017/26414/100705/109648/14081/20528/14377/19013/12895/12894/12675",16
"Down","Organismal Systems","Excretory system","mmu04960","Aldosterone-regulated sodium reabsorption","10/1010","38/9575",0.263157894736842,2.49478895257947,3.1703667259663,0.00490078761785129,0.0211306686899562,0.0160121427295483,"11931/11928/108017/20276/16334/20393/110784/15484/56379/11936",10
"Down","Metabolism","Carbohydrate metabolism","mmu00030","Pentose phosphate pathway","9/1010","34/9575",0.264705882352941,2.50946418171229,3.02767348467905,0.00716835969630828,0.0305114797330045,0.0231206203430186,"110639/230163/72157/232449/235582/74637/11676/14121/18642",9
"Down","Metabolism","Carbohydrate metabolism","mmu00500","Starch and sucrose metabolism","9/1010","35/9575",0.257142857142857,2.43776520509194,2.92611586490729,0.00876781603015753,0.0368470243292696,0.0279214927542658,"76051/72157/232714/232493/58866/216558/14377/110095/74185",9
"Down","Human Diseases","Endocrine and metabolic disease","mmu04931","Insulin resistance","20/1010","110/9575",0.181818181818182,1.72367236723672,2.62133024265693,0.0104364361886314,0.0433112101828205,0.0328198453826699,"26458/18534/20526/108079/56717/18762/12491/19017/26414/100705/232493/16334/20528/21428/14377/110095/19013/12895/170826/12894",20
