"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signal transduction","mmu04015","Rap1 signaling pathway","134/4646","214/9575",0.626168224299065,1.29047799131803,4.1722075247438,1.91526686072029e-05,8.54777610170443e-05,2.84273865777508e-05,"227377/64143/54354/23797/54519/19730/107746/56508/21825/18796/14178/18795/11602/15901/20779/58220/14205/18759/14173/18645/13639/18049/18176/12977/57257/13645/65086/12801/14745/21687/18710/12540/110351/13836/18707/18762/15234/14677/50791/14184/18595/16590/16542/18590/11461/14254/381810/14812/16653/101540/22323/20130/18751/16797/16408/16409/14183/15461/16334/11540/16414/13637/26396/16000/215449/16337/14182/14065/11513/14681/56513/244668/93742/16412/104110/14180/71785/75600/70549/74769/14678/11848/432530/14172/16822/14257/26397/11541/18643/18053/78473/16399/16416/18750/170758/70405/14186/75477/14062/18708/104111/382562/238130/18760/217692/18654/12313/14026/11651/23880/19354/18591/19094/223864/11512/11515/224129/21844/14293/26416/26415/22339/22324/13640/240168/75292/12314/14164/18596/93737/20469/18797/22340/74055",134
"Human Diseases","Cardiovascular disease","mmu05418","Fluid shear stress and atherosclerosis","97/4646","148/9575",0.655405405405405,1.35073326662866,4.17472593122641,1.93091993401824e-05,8.54777610170443e-05,2.84273865777508e-05,"14859/16178/16177/14733/17970/66447/23797/11898/11477/16410/16176/21824/20779/17395/16151/16800/14866/68312/14867/14863/14862/14865/22329/18033/16476/108079/18710/18707/18762/18127/16542/26414/63873/17969/18590/11461/12391/21937/56615/17258/26408/103140/14871/14872/59004/18791/16598/15368/17390/12562/18104/13057/12166/12159/15894/75600/14860/14857/100042314/14858/74769/11848/26420/23939/22059/20296/20293/16399/16416/170758/70405/13614/13039/17260/18708/20969/14281/12313/11651/105787/15529/56551/19354/18591/19094/19252/26416/26415/21926/22339/12314/14870/225884/19697/12675/14873/68214",97
"Human Diseases","Cancer: specific types","mmu05220","Chronic myeloid leukemia","55/4646","76/9575",0.723684210526316,1.49144991730294,4.1759378246895,1.93254068386361e-05,8.54777610170443e-05,2.84273865777508e-05,"23797/11350/271849/12048/13555/11836/16151/20416/18176/18033/21812/12578/18710/433759/242705/18707/12571/13016/13197/16653/21803/12028/14389/15461/12443/15182/110279/216148/17873/26396/12567/19645/12402/17127/74769/21813/22059/20851/20850/14784/13557/23882/18708/18035/20663/21809/11651/17869/12394/12018/12575/20662/19697/12015/12675",55
"Metabolism","Lipid metabolism","mmu00062","Fatty acid elongation","25/4646","29/9575",0.862068965517241,1.77664880431072,4.06649148385432,2.66128186437277e-05,0.000116220537115014,3.86515287430556e-05,"30963/56348/75778/170439/15107/66775/54325/19063/26922/70025/97212/231086/93747/106529/57874/68801/54326/74559/171210/26897/171282/171281/70757/54397/52538",25
"Metabolism","Global and overview maps","mmu01210","2-Oxocarboxylic acid metabolism","28/4646","34/9575",0.823529411764706,1.69722215188271,3.9538536741381,4.81746621682686e-05,0.000207753230600658,6.90926075834378e-05,"15926/209692/170718/15929/18597/13171/11428/12035/12039/12036/269951/12974/23923/108682/14719/68263/239017/235339/67834/12040/109652/18293/13382/78920/268782/76282/11429/14718",28
"Human Diseases","Drug resistance: antineoplastic","mmu01524","Platinum drug resistance","57/4646","81/9575",0.703703703703704,1.45027183877808,3.9509322891687,5.21401321873666e-05,0.000222078340798043,7.3856717458388e-05,"14859/12370/14103/66447/23797/12048/14866/68312/14867/14863/14862/14865/20529/12578/18710/12371/18707/13063/12122/56615/170770/13870/12028/26408/19714/103140/14871/14872/11783/11979/12367/21974/11797/11796/14860/14857/100042314/14858/74769/22059/21973/12189/11799/18708/11651/18607/12018/12575/17685/58801/14870/225884/12015/14102/12780/14873/68214",57
"Human Diseases","Cancer: specific types","mmu05212","Pancreatic cancer","54/4646","76/9575",0.710526315789474,1.46433264607925,3.94551752219595,5.34217681983376e-05,0.000224762317419835,7.47493290580077e-05,"20846/64143/23797/19730/19361/12048/13555/11836/73341/16151/13645/18033/21812/12578/16451/18710/242705/12540/12371/56717/18707/12571/26414/12190/13197/16653/21803/12028/12443/17873/12567/19645/17127/74769/21813/26420/22059/18806/20848/170758/13557/23882/18708/21809/11651/19354/12018/12575/22339/17126/58988/19697/12015/12675",54
"Human Diseases","Cancer: specific types","mmu05215","Prostate cancer","68/4646","100/9575",0.68,1.40142057684029,3.91757145509547,5.96128082723174e-05,0.000247788178963247,8.24070526529182e-05,"16178/12912/23797/20732/13555/17395/11836/16151/11835/56458/23920/78284/18176/13645/18033/12448/12913/18710/242705/12371/56717/18707/18595/18590/208647/231991/21415/16653/12447/14183/15461/16334/12443/208677/26396/16000/12566/18791/14182/18792/18095/19645/71785/17392/74769/21414/22059/14784/13557/18708/18035/20663/11651/18591/104156/50528/18607/12575/94224/20662/21417/18596/14870/225884/19697/12015/12675/21416",68
"Human Diseases","Infectious disease: viral","mmu05160","Hepatitis C","106/4646","167/9575",0.634730538922156,1.30812417352123,3.89979931045974,6.22087897067852e-05,0.000255500386295725,8.49719057398445e-05,"20846/12633/12370/56489/24014/14103/23797/22030/20181/22259/27103/228607/13555/11836/16151/12738/18417/18176/13645/18033/230073/16451/18710/242653/242705/12371/18707/12571/64945/22629/269643/15945/246728/246727/23961/23960/246730/20778/12740/12739/22628/60363/15467/13063/12122/21937/16653/12028/15461/54123/12520/12443/26396/11783/12567/20847/12566/71908/142980/12367/71609/16391/71978/19645/58187/54721/16835/74769/56492/22059/53624/20848/14784/12702/13557/18708/22630/58185/18035/20663/22031/11651/16341/17869/19013/12737/15976/15975/56173/17857/17858/54419/12018/12575/21926/106759/19106/20662/72930/19697/12015/14102/667373/112419/15957/12675",106
"Organismal Systems","Nervous system","mmu04723","Retrograde endocannabinoid signaling","98/4646","153/9575",0.640522875816993,1.32006167368655,3.87449176919562,6.94804878388644e-05,0.000282009038875391,9.37879030889934e-05,"66495/227197/67273/19225/226646/16524/68375/16519/68349/18796/18795/54652/104130/54405/53623/14404/14396/14696/66046/66377/12801/230075/14073/595136/14403/14688/14677/242864/14405/14395/26414/66066/17992/68202/68198/14701/23945/16438/12288/66108/16439/66091/14709/14407/14402/68197/70316/18751/75406/66414/67184/66916/18747/12286/11513/14681/66082/14702/104110/14802/16521/14678/432530/216643/26420/14710/18750/14706/407785/17993/104111/66218/67130/19094/11512/11515/224129/68194/100041273/100042503/68342/16440/26416/26415/78330/66416/69875/72900/17991/225887/17995/18797/67264/17716/17717/17719/17721/17722",98
"Organismal Systems","Endocrine system","mmu04926","Relaxin signaling pathway","85/4646","130/9575",0.653846153846154,1.34751978542336,3.87308595788237,7.06664567540762e-05,0.000283487530001817,9.42796057061727e-05,"12825/12912/12829/12828/23797/18796/271849/18795/20779/17395/94216/14205/14696/381489/20416/78284/18176/18033/12913/21812/16476/18710/18707/18762/14688/14677/18127/26414/18125/66066/12843/208647/231991/14701/16653/14709/21803/109689/15461/216148/208677/26396/14676/12826/12827/18747/11513/17390/14681/14702/104110/13618/74769/14678/21813/432530/26420/216869/18126/12842/14710/18750/14784/14706/13614/18708/104111/18035/20663/14281/11651/239336/19094/11512/11515/224129/26416/26415/22339/20662/17126/19697/18797/22340/11475",85
"Environmental Information Processing","Signaling molecules and interaction","mmu04060","Cytokine-cytokine receptor interaction","175/4646","294/9575",0.595238095238095,1.22673369821454,3.83353343923662,7.82218601022926e-05,0.000310190134888402,0.000103160105882031,"257630/16178/16177/107527/17082/16182/16174/12765/16322/20297/21934/16324/12767/240873/14103/16963/16184/16169/215257/54448/215274/16181/11477/16176/12156/21939/12162/16164/245527/13607/16186/12766/16196/22035/16194/18049/12977/242316/12804/16157/21812/326623/21949/16847/12163/12986/242700/21938/21941/21942/230979/22163/21936/16193/100532/20311/57349/56744/330122/14825/20310/17329/15945/55985/110075/57914/56221/13856/209590/57890/171095/20315/16172/14562/12504/21937/16156/232983/21803/16170/320100/16190/60504/246779/13019/15979/83430/14561/24099/14559/23886/16161/16168/50931/20299/20312/20295/76527/16188/50905/12166/12159/21933/21943/13857/12145/16154/16173/12160/12773/21813/13051/12776/12769/80901/23832/12768/12771/12772/12774/18413/16878/14566/12981/57916/66102/20296/20306/20292/20293/20307/20290/20304/20308/20305/20302/20303/18053/12985/12775/12777/16323/12161/57266/16195/56838/21809/14600/18414/16880/16197/19116/18383/12984/12983/16185/72049/11482/16180/15976/15975/15980/27279/16994/21926/16992/94185/50498/21950/50930/53603/56708/77125/14102/12982",175
"Human Diseases","Cancer: specific types","mmu05221","Acute myeloid leukemia","50/4646","70/9575",0.714285714285714,1.47208043785745,3.8485387974364,8.06543560548123e-05,0.000316201736805798,0.000105159387679121,"18627/23797/20375/18715/11836/16151/12428/14129/18176/18033/12395/18710/56717/18707/16590/14255/21415/16653/16409/15461/12443/26396/67603/13685/18854/12047/12044/12045/74769/21414/12981/19401/20851/20850/20848/14784/18708/20663/11651/17869/12394/19015/18712/20662/12475/58988/19697/12015/12675/21416",50
"Environmental Information Processing","Signal transduction","mmu04152","AMPK signaling pathway","83/4646","127/9575",0.653543307086614,1.34689564471682,3.82065365795398,8.77489082977642e-05,0.000340150262502569,0.000113123962205279,"227154/12912/16367/72674/23797/226849/64930/68365/15378/18534/18639/12428/56458/78284/108097/59021/12913/16847/108079/18710/56717/18707/12491/19744/269643/19017/57915/22241/100705/19079/207565/12638/208647/231991/19016/68465/232493/78070/14936/13631/16334/12443/56484/93759/18641/20869/208677/13629/16000/16337/13685/17274/56690/74551/69008/11549/71978/74769/270198/20787/20528/14377/68401/74370/14104/14120/14121/15357/18708/26931/11651/105787/12895/18642/18607/22084/19326/72930/12894/58988/225849/20250/20249",83
"Organismal Systems","Immune system","mmu04610","Complement and coagulation cascades","64/4646","94/9575",0.680851063829787,1.40317454502157,3.8136151417434,9.20588609742018e-05,0.000352892300401107,0.000117361588844304,"20720/13136/12269/14060/545366/12628/11905/14067/69379/15139/12258/333883/12509/21824/14071/99571/14161/110135/14066/12630/230558/12260/12262/12259/18787/12267/50909/50908/667277/317677/12273/18793/16409/16411/16414/14068/14058/18791/14065/18792/17194/12759/56373/18816/22370/74145/14062/14064/20701/20703/268591/12062/12274/109828/15160/385643/16644/17174/19128/18815/12268/12266/19123/17195",64
"Human Diseases","Infectious disease: viral","mmu05163","Human cytomegalovirus infection","153/4646","254/9575",0.602362204724409,1.24141586531128,3.7858056680433,9.58370256063637e-05,0.000363338174002148,0.000120835578844345,"16177/12370/12912/12765/12767/19225/14103/23797/22030/64930/16410/18796/12010/16176/18795/13555/20779/18019/13712/16151/14696/213498/16194/78284/18176/18033/19218/12913/12578/16451/18710/242705/12371/56717/18707/14688/12571/14677/19744/16193/18595/14673/66066/208647/13063/231991/14701/16438/20315/12122/21937/16653/16439/14709/16801/12028/18751/15461/12443/208677/26396/14672/12567/13685/12367/19216/18747/11513/14681/20312/71609/14702/19217/104110/73181/19229/19057/19645/16154/75600/214763/74769/14678/11848/12768/12771/12774/432530/22059/20296/20293/20304/20302/20303/14710/20848/16416/18750/14784/170758/70405/14706/13557/18708/104111/19878/18035/20663/12313/11651/19219/17869/19354/19094/11512/20683/11515/224129/22084/12018/16440/26416/26415/12575/21356/14972/21354/21355/21926/14964/15006/15013/15015/110557/15018/110558/15007/15042/15040/15039/15024/14991/14990/22339/20662/12314/72512/18018/58988/19697/18797/14102/12675",153
"Environmental Information Processing","Signaling molecules and interaction","mmu04514","Cell adhesion molecules","113/4646","181/9575",0.624309392265193,1.28664710093397,3.77979693519364,0.000100789593191108,0.000377960974466653,0.000125698691737194,"12487/12477/54167/18566/21367/269116/19264/20343/20344/94332/12490/171171/16401/16410/20612/21939/12561/245446/245450/245537/12738/18417/242122/12481/22329/19266/242653/20970/64945/20345/12740/12739/60363/12526/12504/19294/52118/12483/17136/20737/16408/16409/74048/16414/50723/17123/71908/12562/12560/16412/239250/58187/15894/69524/270152/54725/17967/102657/18007/56492/104099/216856/53624/13003/20969/319504/320910/15529/16421/12737/12524/12519/207683/100043314/11658/13052/17968/67374/56173/54419/14972/15001/14998/15000/14999/15002/14961/14960/14969/381091/100504404/14964/15006/15013/15015/110557/15018/110558/15007/15042/15040/15039/15024/14991/14990/19280/19274/12558/225825/18190/12511/60533/58205",113
"Organismal Systems","Excretory system","mmu04960","Aldosterone-regulated sodium reabsorption","30/4646","38/9575",0.789473684210526,1.62703627342139,3.75997950160661,0.000115780667124755,0.00042909241962574,0.000142703504925113,"16367/11931/27222/98660/11928/18710/55948/18707/108017/20276/16653/232975/20278/20277/18751/16334/20393/16000/16337/110784/15484/56379/11936/74769/11932/18750/18708/18607/65962/83814",30
"Environmental Information Processing","Signal transduction","mmu04390","Hippo signaling pathway","100/4646","158/9575",0.632911392405063,1.30437507151926,3.74531408723405,0.000116912137521216,0.00042909241962574,0.000142703504925113,"14369/14367/22420/22409/14633/170788/209456/241324/12156/15901/58220/12162/27494/18759/97064/22414/242316/21812/12695/12163/22417/22062/18762/13542/22629/269643/68473/73246/11839/22628/18787/11461/21415/12386/232157/22421/22419/12444/170770/21803/101543/21677/14366/23859/21676/12443/14219/16414/23805/17125/93960/56513/93742/22418/12166/12159/16475/14365/71978/11797/11796/17127/12160/21813/18016/103583/211652/21414/216795/16897/13543/13385/57265/12006/11799/104318/12161/72293/22630/15902/64010/319710/56217/21809/56274/14368/17869/27373/22410/20583/21678/12445/14370/12385/14164/72930/17126/93737/22423/21416",100
"Human Diseases","Cancer: overview","mmu05231","Choline metabolism in cancer","66/4646","98/9575",0.673469387755102,1.38796155569417,3.74777228211983,0.000119953320436782,0.000435619953165155,0.000144874370389022,"18777/18783/23797/19730/64930/74182/331374/22376/236899/18720/18176/213603/13645/100434/16476/18710/242687/56717/18707/19744/18595/26414/110524/18590/245880/16653/232889/18751/15461/83767/26396/18717/212862/13685/71785/68682/74769/26420/20520/56517/30805/18806/56077/18750/14784/170758/18708/19012/217480/20663/15251/14281/11651/19354/18591/20683/13026/20518/20517/18607/22084/70129/20662/18596/58988/18719",66
"Human Diseases","Infectious disease: viral","mmu05168","Herpes simplex virus 1 infection","130/4646","213/9575",0.610328638497653,1.25783398915519,3.69447350652083,0.000139509458875496,0.000501362117833815,0.000166738278699881,"20846/12370/20684/56489/24014/14103/23797/22030/332579/64930/15139/71586/27103/12010/16176/228607/12048/20779/67996/18636/16179/16151/24088/18033/230073/16451/18710/12371/56717/18707/230979/19744/16193/246728/246727/23961/23960/246730/231805/15467/78781/13063/12122/21937/19294/18987/12028/54123/15979/67933/11783/20847/13685/142980/12367/69550/71609/16391/11797/11796/54721/18854/214763/74769/81897/17874/22059/20296/20293/20304/16416/20382/12702/21681/20963/18708/18035/22031/11651/66513/266632/16402/224045/15976/15975/15980/22084/12018/20383/21356/14972/15001/14998/15000/14999/21354/21355/15002/14961/14960/14969/381091/100504404/21926/16992/14964/15006/15013/15015/110557/15018/110558/15007/15042/15040/15039/15024/14991/14990/106759/50930/12266/19106/225027/72512/16149/19697/12015/14102/12675",130
"Organismal Systems","Immune system","mmu04658","Th1 and Th2 cell differentiation","60/4646","88/9575",0.681818181818182,1.40516769068211,3.70696595194944,0.000142264463979431,0.000505992165700039,0.000168278096296886,"22637/20849/20846/12503/18761/16184/18019/16151/16186/433586/18033/16476/16451/16818/12399/19664/26414/12504/18036/16190/16797/15979/20852/16161/16453/17132/19057/270118/54721/12502/12500/12501/26420/103806/57765/20851/20850/18035/14281/16185/19094/15980/13388/26416/26415/18131/15001/14998/15000/14999/15002/14961/14960/14969/381091/100504404/18037/18018/19697/12675",60
"Environmental Information Processing","Signaling molecules and interaction","mmu04061","Viral protein interaction with cytokine and cytokine receptor","64/4646","95/9575",0.673684210526316,1.38840428665292,3.69358887609191,0.000149252036356541,0.000525428087173538,0.00017474191152377,"16182/16174/12765/20297/12767/16963/16184/16186/12766/22035/16194/12977/21938/230979/16193/20311/57349/56744/330122/14825/20310/17329/15945/55985/56221/20315/21937/20299/20312/20295/76527/21933/12145/16154/16173/12773/13051/12776/12769/23832/12768/12771/12772/12774/20296/20306/20292/20293/20307/20290/20304/20308/20305/20302/20303/12775/12777/57266/16195/56838/16185/21926/16992/50930",64
"Human Diseases","Endocrine and metabolic disease","mmu04936","Alcoholic liver disease","90/4646","141/9575",0.638297872340426,1.31547613595772,3.66382767176759,0.000162684364294584,0.000566930360420521,0.000188544345647099,"17087/12370/56489/72674/14103/56752/23797/15139/16176/16803/16179/16151/56458/108097/18033/11529/11522/11532/11364/72535/21898/108079/12260/12262/12259/16193/80911/19017/330122/14825/20310/26414/100705/19079/11669/207565/101214/21415/171095/68465/16172/12267/21937/12273/78070/50490/13106/12443/26408/56484/93759/12367/71609/56690/117149/17874/26420/21414/20787/26397/11671/11370/53859/11430/14104/14245/18035/22031/11651/105787/66513/19013/19094/12895/266632/26416/26415/12268/21926/106759/12266/12475/110695/12894/19697/14102/12675/20250/20249/21416",90
"Human Diseases","Infectious disease: viral","mmu05167","Kaposi sarcoma-associated herpesvirus infection","135/4646","223/9575",0.605381165919282,1.24763768051596,3.63265216589125,0.000176725201575492,0.000609701945435448,0.000202768915491881,"20846/12370/12912/17164/56489/19225/23797/22030/15162/13555/20779/277360/18019/16151/14696/14173/18176/18033/17096/16476/16451/18710/242705/12371/56717/18707/14688/12571/16193/330122/14825/20310/26414/22190/66066/13063/14701/21415/16438/12122/21937/94071/16653/16439/14709/12028/15461/54123/12443/15979/26396/12567/20847/142980/12367/22186/71609/14702/100504663/16391/73181/19057/19645/15894/54721/75600/74769/12773/12776/12768/12771/12774/26420/21414/12981/320207/104709/22059/14710/20848/56208/70405/14706/13557/20963/18708/16195/30955/18035/15251/14281/12313/22031/11651/17869/18591/19094/12524/57781/239849/271375/74603/15976/15975/54720/12018/16440/26416/26415/12575/14972/14964/15006/15013/15015/110557/15018/110558/15007/15042/15040/15039/15024/14991/14990/22339/106759/12266/19106/12314/18018/19697/14102/12675/21416",135
"Organismal Systems","Endocrine system","mmu04919","Thyroid hormone signaling pathway","78/4646","120/9575",0.65,1.33959319845028,3.63434159858473,0.000184925540868862,0.000631676352472847,0.000210076956276248,"20846/18802/11931/20183/27222/98660/23797/20181/16410/18796/18795/20779/17979/26896/59024/20502/56458/329650/11928/18176/13370/18710/20525/433759/22417/12371/56717/18707/19744/11938/11461/16653/232975/18751/15461/12443/13982/15182/72472/18641/216154/26396/18747/21834/12159/17888/14463/11936/20466/74769/18799/22059/11932/53313/19014/21833/14534/72469/16416/18750/18708/17977/15251/13371/107585/11651/17869/18642/54720/18607/22084/18131/20182/53901/18519/12015/18797/74055",78
"Human Diseases","Infectious disease: viral","mmu05164","Influenza A","108/4646","174/9575",0.620689655172414,1.27918713910372,3.60819426128212,0.00019822605604246,0.000670470483673026,0.000222978742091106,"20846/12370/56489/24014/14103/23797/71586/16176/228607/56488/11740/16151/237082/170743/22035/56417/18033/230073/21898/16451/18710/16650/12371/18707/12571/16193/15945/246728/246727/23961/23960/246730/11461/54188/13063/12122/21937/18036/12028/18751/66824/54123/15979/26396/11783/12567/20847/142980/11739/12367/81489/71609/54196/16391/21933/100037258/12362/15894/54721/270151/16173/18854/74769/17874/103573/22333/216799/20296/20293/20304/16647/18750/12702/18708/58185/18035/22031/11651/266632/12265/15976/15975/15980/17857/17858/50528/18815/17229/12018/19326/15001/14998/15000/14999/15002/14961/14960/14969/381091/100504404/21926/12445/106759/19106/19697/77125/14102/12675",108
"Environmental Information Processing","Signal transduction","mmu04150","mTOR signaling pathway","99/4646","158/9575",0.626582278481013,1.29133132080407,3.58481164181323,0.000218588002647584,0.000732163698188508,0.000243496088794958,"108664/227154/14369/14367/22420/22409/16367/320311/338375/23797/64930/227743/72446/67071/110651/329679/83409/18176/22414/68576/66290/108079/18710/54170/230784/22417/56717/18707/13542/19744/22241/56430/80909/66096/66144/110935/22421/110379/22419/11973/21937/16974/16653/14366/66508/18751/15461/16334/20393/74747/20869/26396/16000/16337/13685/11966/20539/22418/69008/14365/74769/56032/11848/71962/14783/216742/216795/216805/13543/57265/18750/14784/74370/18708/14245/68775/20663/73834/11651/105787/27401/66335/14368/97998/109270/22410/75705/11964/20112/18607/22084/21926/20662/14370/16973/58988/17254/12675/22423",99
"Organismal Systems","Digestive system","mmu04978","Mineral absorption","40/4646","55/9575",0.727272727272727,1.49884553672759,3.60193496097558,0.00022171108474948,0.000735483886909332,0.000244600285806612,"53945/11931/27222/98660/22782/142681/73649/58800/15203/12309/11928/20529/70358/20537/20531/64177/11941/110891/232975/14325/67972/11979/15368/17750/11936/22041/171429/11932/52466/20505/74338/105243/72027/22337/18174/15369/12724/20541/14319/225997",40
"Human Diseases","Infectious disease: bacterial","mmu05134","Legionellosis","43/4646","60/9575",0.716666666666667,1.47698737265031,3.59819765483377,0.000223995391100136,0.000735984856471876,0.000244766893532981,"15510/12370/16176/24088/18033/21898/12371/16193/330122/14825/20310/13063/94044/66824/16409/12176/56422/16414/11783/12367/12362/15481/16173/17874/19324/12750/66397/11841/17948/17951/17952/17940/18035/15511/193740/21926/12266/268973/12475/76308/19697/18034/12369",43
"Organismal Systems","Excretory system","mmu04964","Proximal tubule bicarbonate reclamation","19/4646","22/9575",0.863636363636364,1.77987907486401,3.55529485694096,0.000258029204843859,0.000839812034633314,0.000279296755987891,"11931/27222/98660/18534/12349/11928/54403/11826/232975/216456/14661/74551/11936/76257/17449/11932/12351/27376/105243",19
"Organismal Systems","Nervous system","mmu04722","Neurotrophin signaling pathway","78/4646","121/9575",0.644628099173554,1.32852218028127,3.5306648004599,0.000274864902258202,0.000886246647468033,0.000294739541034373,"16367/17164/14103/23797/107746/11350/12064/271849/16179/67071/12070/110651/18211/20416/18049/18176/20661/108058/18033/192656/16476/18710/12540/18707/22062/26414/16923/23921/18205/11857/16653/18036/78405/12028/18213/20399/15461/26408/56484/216148/26396/17179/72843/215449/73914/14388/18753/75600/74769/11848/26420/23939/22059/18053/14784/70405/18212/18708/26401/77480/18035/20663/19164/12313/11651/19094/266632/20112/18607/14570/26416/26415/18037/20662/12314/12326/19697/12015",78
"Environmental Information Processing","Signal transduction","mmu04014","Ras signaling pathway","141/4646","236/9575",0.597457627118644,1.23130795946212,3.49303788856833,0.000298365014783169,0.000953110463890679,0.00031697647769362,"22637/64143/54354/18783/19731/14103/23797/19730/11350/12064/19419/214230/271849/14178/241694/11602/12048/58231/13712/16151/54601/18481/14205/14696/14173/18211/13639/20416/18049/18176/12977/13645/66350/18033/21687/18710/12540/18781/18782/26970/13836/18707/14688/15234/14184/18595/16590/16542/26414/333050/19415/72399/54153/18590/14255/14254/66066/14701/18205/14812/16653/232889/14709/233046/20130/78405/14389/18479/66922/18751/16797/14183/15461/16002/16334/69836/216148/13637/26396/16000/215449/19344/16337/19414/14182/14388/18747/14702/14180/71785/23871/75600/74769/11848/237625/19696/14172/14257/26420/18806/16706/18053/14710/19345/18750/14784/170758/70405/14706/14186/18212/218397/19418/18708/20663/18654/12313/11651/19354/53357/18591/224105/21844/23872/240057/320484/22339/271457/13640/240168/20662/12314/14164/18596/225870/19697/12015/22340/15566/74055/12675",141
"Human Diseases","Immune disease","mmu05340","Primary immunodeficiency","28/4646","36/9575",0.777777777777778,1.60293203233367,3.51864205191578,0.000311827977839492,0.000986978461969035,0.00032823997667315,"22637/54167/19264/227525/11486/21939/16151/16186/12229/170767/53970/16818/22256/109305/12526/12504/12478/16453/12500/12501/57916/16197/72049/12265/16136/21354/21355/17060",28
"Cellular Processes","Cellular community - eukaryotes","mmu04530","Tight junction","105/4646","170/9575",0.617647058823529,1.27291661391203,3.48563526094348,0.000315544593123507,0.000989662587523726,0.000329132637803466,"76709/22145/74117/67771/74192/18538/98932/20779/58220/22376/72065/17698/12738/27494/18759/18417/12479/16800/68328/108097/54357/17475/16476/12695/108079/242653/12540/18762/64945/242894/269643/26414/19079/56378/12740/12739/60363/231830/11461/56443/11867/12638/68089/56449/22323/71960/21872/23859/70497/13043/12443/26408/20869/12567/216459/102098/71908/17274/18747/56513/73608/93742/16412/14463/71978/58187/75723/19684/235442/68178/17999/56492/11848/18016/66713/26420/15525/16897/77579/53624/26941/26401/19878/56217/109711/105787/17886/22143/22142/12737/15163/67374/21844/12394/56173/22350/54419/224912/67268/18754/72930/104027/83814/93737/21873",105
"Metabolism","Amino acid metabolism","mmu00310","Lysine degradation","45/4646","64/9575",0.703125,1.44907918101593,3.49950584589736,0.000326603836017176,0.0010151200308642,0.000337599033910594,"269132/56752/64707/209692/77683/170442/20937/73251/84505/15107/72535/110593/18822/70673/231051/97212/107823/11669/67956/26433/30956/14056/75410/93747/234135/23923/234407/270076/110446/235386/235626/72947/11671/19193/14055/13382/78920/381022/74147/224530/110460/213389/110147/73582/110695",45
"Environmental Information Processing","Signal transduction","mmu04022","cGMP-PKG signaling pathway","106/4646","172/9575",0.616279069767442,1.27009730801189,3.4702292521855,0.000333745607217124,0.00102805566508846,0.000341901044987467,"12912/16367/11539/19735/11931/27222/98660/23797/18796/11552/11550/18795/228785/98932/18019/54652/11740/54195/60596/78284/18160/11928/242202/12913/230103/18386/14677/18127/19092/11938/14886/14673/208647/231991/16438/11941/12288/54611/16439/110891/22323/232975/17258/207728/17540/18576/16334/208677/26396/14672/67972/17931/16337/22335/11739/13617/213435/11513/22334/16531/105675/17888/104110/73181/14463/11549/19057/13618/234889/22068/11936/75600/14678/11848/432530/16533/11548/22333/320207/104709/11932/53313/70405/11607/17260/104111/19878/30955/12313/12062/11651/11512/11515/385643/16644/107589/224129/16440/20541/18754/12314/18018/12015/18797/19091/11554",106
"Cellular Processes","Cell growth and death","mmu04216","Ferroptosis","31/4646","41/9575",0.75609756097561,1.5582510000735,3.47768922330689,0.00036490898502196,0.00111410265338563,0.000370517739798729,"53945/74205/68428/19122/14854/13058/50790/12870/26570/14630/67547/23983/14792/14325/11793/625249/22335/14081/15368/22334/27057/213053/14629/22041/22059/69215/18174/18521/22042/17254/14319",31
"Organismal Systems","Aging","mmu04213","Longevity regulating pathway - multiple species","43/4646","61/9575",0.704918032786885,1.45277446490194,3.44407162858375,0.000404200941705991,0.00122323969200497,0.000406813505502798,"16367/23797/12359/56458/108097/18176/108079/18710/433759/56717/18707/19079/16653/20480/15461/16334/15182/56484/11793/13688/93759/16000/16337/18747/11513/104110/15481/12955/74769/432530/74370/18708/104111/11651/105787/11512/11515/224129/20655/20656/15511/193740/58988",43
"Organismal Systems","Endocrine system","mmu04910","Insulin signaling pathway","88/4646","140/9575",0.628571428571429,1.29543078531456,3.41865849796384,0.000411155254049727,0.00123346576214918,0.000410214395344808,"16367/23797/64930/107746/271849/110078/19246/18534/228966/11836/13712/18679/18759/56458/20416/108097/18176/108079/17346/18710/56717/18707/18762/19744/19017/26414/100705/19079/18682/23921/19085/15277/232493/16653/14936/16332/18576/212111/15461/16334/15275/216019/216148/17347/26396/216233/16337/13685/244416/18747/102093/105651/74551/12402/75600/74769/19087/26420/20787/20528/14252/14377/68401/14784/12702/74370/14104/70405/212032/14120/14121/18708/20663/110095/12313/11651/105787/12703/208650/18607/22084/14251/106628/20662/104215/12314/58988/12015",88
"Human Diseases","Infectious disease: parasitic","mmu05146","Amoebiasis","70/4646","108/9575",0.648148148148148,1.33577669361139,3.40692946831944,0.000439939169517511,0.00130843977140984,0.000435148543352167,"16178/16177/12825/14268/12829/12828/226421/16782/226519/16780/69379/23928/18796/16176/18795/16776/94216/24088/12479/18033/21898/230558/18710/18477/18707/16193/330122/14825/20310/15507/12843/19349/21803/18751/16409/11846/16773/16775/16414/14676/14672/19344/12826/12827/12367/18747/22330/74769/432530/12981/18126/12842/19345/18750/20708/20723/20706/20719/18708/16777/109711/21809/21926/271457/16772/16774/12475/19697/18797/14675",70
