"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signal transduction","mmu04068","FoxO signaling pathway","91/4646","133/9575",0.684210526315789,1.41009810363187,4.62368765806087,2.36674778582273e-06,1.45808568948007e-05,4.84916369651649e-06,"16367/14103/23797/12359/12125/27219/58231/18534/11836/54601/22035/20873/73251/56458/108097/18176/13645/21812/12579/108079/18710/12795/18707/16193/12452/26414/19079/13197/213393/12444/57436/16653/21803/15469/18817/12176/15461/16334/12443/20393/56484/93759/20869/17873/26396/16000/216439/12566/16337/66822/26558/16598/19651/93739/74551/12581/17127/12442/74769/21813/26420/20528/56486/20848/14377/68401/14784/23882/26556/268697/18708/20620/20663/21809/11651/105787/27401/16197/67731/27373/19094/252870/12053/20656/18607/26416/26415/12575/20662/67526/12675",91
"Cellular Processes","Transport and catabolism","mmu04137","Mitophagy - animal","72/4646","101/9575",0.712871287128713,1.46916542708942,4.60179113667188,2.59404765377325e-06,1.57008147465223e-05,5.22162870288613e-06,"245860/226421/641376/22030/53375/228361/84092/12995/12048/13555/20779/209446/20438/67414/17827/18176/16476/68943/68350/170731/66169/213948/26414/22241/100756/22190/66437/75788/52440/19349/94044/12034/57436/16653/53333/233204/20130/66922/12176/15461/56484/19344/22186/14232/20437/23802/93739/67952/12177/270151/72825/26420/22059/56486/59040/19345/56208/17966/66313/382793/75266/15251/68653/20683/74143/28185/50873/214952/13001/271457/19697/69104",72
"Human Diseases","Cancer: specific types","mmu05225","Hepatocellular carcinoma","115/4646","175/9575",0.657142857142857,1.35431400282885,4.59251220523999,2.76559116510715e-06,1.6450499171758e-05,5.4709516696312e-06,"14859/14369/14367/22420/22409/66447/23797/271849/12048/13555/11836/13712/56456/20416/18176/22414/14866/68312/14867/14863/14862/14865/21812/12578/18710/242705/22417/56717/18707/13542/12571/15234/11461/13197/21415/232223/22421/22419/16974/56615/16653/21803/12028/27412/14366/18751/15461/16002/12443/103140/14871/14872/20587/216148/23805/17873/26396/50493/12567/15368/14388/18104/22418/66923/14365/19645/17127/14860/14857/100042314/14858/74769/20588/21813/21414/216795/22059/13543/57376/57265/83796/18750/12006/14784/13557/23882/21752/18708/20663/70127/21809/11651/14368/17869/22410/83797/26462/239985/12018/12575/20662/14370/93687/17126/16973/14870/225884/58988/12015/67155/212398/22423/14873/68214/21416",115
"Metabolism","Carbohydrate metabolism","mmu00010","Glycolysis / Gluconeogenesis","51/4646","67/9575",0.761194029850746,1.56875437706003,4.53549269719063,3.4045516886967e-06,1.99079717389892e-05,6.62080524652882e-06,"56752/68738/60525/18534/18655/18597/11529/11522/11532/72535/230163/72157/58810/13806/66681/11669/15277/13807/21991/14433/16832/14751/16828/11674/15275/216019/18641/68263/74551/235339/18746/56012/11670/11671/13808/11676/14377/68401/212032/14120/14121/13382/18642/319625/433182/110695/67689/73458/17330/18648/226265",51
"Human Diseases","Infectious disease: viral","mmu05161","Hepatitis B","108/4646","164/9575",0.658536585365854,1.35718635490272,4.47925515653242,4.76479824878541e-06,2.73975899305161e-05,9.11163173890543e-06,"20849/20846/12370/12912/56489/14103/23797/71586/228607/18538/13555/20779/17395/18019/11836/13712/16179/54411/16151/12428/24088/78284/18176/18033/12448/230073/12913/21812/21898/16476/16451/18710/242705/15530/12371/18707/16193/26414/208647/13063/231991/12122/16653/21803/12447/12028/18751/15461/54123/13654/208677/26396/11783/20852/20847/12566/22335/142980/12367/16453/73181/19229/13655/19645/12364/54721/117149/17127/74769/21813/17874/26420/26397/22059/20851/20850/20848/18750/14784/11799/13557/18708/26401/22630/18035/20663/20493/14281/21809/22031/11651/17869/66513/19094/266632/15975/26416/26415/12575/21926/106759/20662/225471/18018/19697/12015/14102/12675",108
"Environmental Information Processing","Signal transduction","mmu04010","MAPK signaling pathway","183/4646","299/9575",0.612040133779264,1.26136123136816,4.45762260401097,5.15796186807225e-06,2.91720794177857e-05,9.70177469577006e-06,"26921/16177/13869/17164/13714/320139/18783/14103/23797/63953/22030/12298/65964/19099/12064/19419/14178/13537/16176/12531/11602/58231/54652/11836/13712/75590/16179/192176/16151/67071/110651/14205/14173/18211/13639/18049/18176/12977/13645/18033/21812/21687/16476/17346/53608/16765/12540/13836/12293/15234/14184/18595/16590/16542/13874/11839/26414/330177/15507/18590/14673/14255/14254/14701/13197/12288/21937/18205/16653/81905/232889/19060/19698/21803/26411/233046/20130/78405/19259/18479/109689/66922/18751/14183/15461/18218/16002/16334/26408/13637/17347/17873/26396/16000/67603/19279/215449/13867/16337/14182/12367/16478/18747/12286/71609/14180/19057/71785/26940/15481/102626/56808/21813/17874/14172/14257/26420/26397/23939/22059/216869/12291/18053/53859/17762/54377/18750/14784/170758/23882/14186/18212/17260/218397/19418/26401/20663/19042/338372/18654/14281/21809/11651/14573/56274/17869/19354/18591/66513/239556/19094/60597/266632/12297/15370/26404/16180/224105/20112/19252/26416/26415/15511/193740/21926/22339/18188/13640/240168/20662/19043/26410/12475/14164/18596/18018/19697/26412/22340/14102/12675/18034/240672",183
"Cellular Processes","Cell motility","mmu04820","Cytoskeleton in muscle cells","146/4646","232/9575",0.629310344827586,1.29695362714682,4.44525170897008,5.53133492226504e-06,3.07792023900232e-05,1.02362564775363e-05,"14200/12825/12832/14268/13346/12829/12828/12835/13007/21956/11931/27222/98660/22352/12831/17996/71409/16420/241431/16401/16410/21825/12335/14118/20648/98932/14199/12111/13726/13405/54004/94216/16905/21827/59069/213119/11928/12340/109674/12814/118449/109676/56376/22004/373864/12840/14201/20970/433766/15530/12345/13806/11603/13717/77053/11461/12843/20392/68794/22793/11468/14115/74122/320502/13807/16651/21954/232975/233199/71960/11717/17907/21953/64009/16773/11735/12834/12833/16907/13179/13008/16404/12826/12827/17930/326618/20650/16412/22330/21924/17888/213019/56419/53867/319480/22003/70549/50875/50876/245026/13138/104099/30794/17882/17879/77579/11932/13808/12842/16400/16399/57778/16416/192897/18073/109620/67399/13003/21828/16398/109700/20969/208846/319565/70435/320910/15529/18810/17886/14114/22379/16421/16402/16419/21826/16772/13506/13511/433182/16906/14119/20743/11474/107765/54132/18175",146
"Human Diseases","Infectious disease: parasitic","mmu05142","Chagas disease","72/4646","103/9575",0.699029126213592,1.44063794306826,4.36502327879202,8.15094088336104e-06,4.46361048374533e-05,1.48446542403735e-05,"12633/12370/14103/12503/23797/18796/16176/18795/16179/16151/24088/18033/21812/21898/16476/18710/12260/12262/12259/18707/14677/16193/269643/21899/26414/18787/21937/21803/15979/14676/14672/14681/71978/12502/12500/12501/74769/81897/14678/21813/17874/432530/26420/18126/20296/20293/20304/20302/11421/18708/18035/14281/21809/12062/11651/19094/266632/385643/16644/15980/26416/26415/21926/106759/12266/72930/17126/19697/18797/14675/14102/12675",72
"Human Diseases","Cancer: overview","mmu05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","63/4646","88/9575",0.715909090909091,1.47542607521622,4.34977495497837,8.70134604784218e-06,4.69056935391493e-05,1.55994526186644e-05,"22637/20846/12487/18566/12503/23797/381319/18761/19419/12995/18019/16151/24088/18176/13645/18033/21898/16476/16451/18710/16818/56717/18707/15170/12504/16653/18036/16797/15461/15979/26396/19057/117149/12502/12500/12501/74769/81897/17874/26397/20848/18708/18035/15251/14281/53314/11651/19094/15980/26416/26415/13001/18037/106759/11682/78798/225471/18018/58988/19697/74481/60533/12675",63
"Metabolism","Lipid metabolism","mmu01040","Biosynthesis of unsaturated fatty acids","29/4646","34/9575",0.852941176470588,1.75783722873566,4.29759367677004,8.95606876166303e-06,4.75360572734422e-05,1.58090930367817e-05,"30963/56348/170439/209186/230161/12012/66775/20280/54325/70025/80911/106529/57874/68801/235674/113868/11430/54326/74559/171210/26897/171282/171281/70757/15488/56473/76267/20250/20249",29
