"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol"
"ENSMUSG00000051951",22.478090017245,3.83017441932123,0.789596755452314,5.8506741631846e-08,2.55312537632991e-07,"Xkr4"
"ENSMUSG00000002459",11.5518205132571,1.93127459697997,0.748528814548642,0.000659272513388735,0.00182004849369889,"Rgs20"
"ENSMUSG00000033740",4.68487408444549,2.89574390594129,1.4584403290231,0.000812719528034956,0.0022114130042803,"St18"
"ENSMUSG00000097797",25.3183081067603,1.4411303734966,0.454348330296321,0.000150768818172813,0.000455714005287808,NA
"ENSMUSG00000067879",18.7179011202305,3.80715643759648,0.88334472225053,6.28385963496846e-07,2.49633086245794e-06,"Vxn"
"ENSMUSG00000016918",499.946891854968,3.00845166080901,0.298187909180588,1.00670537410808e-24,1.29514734016877e-23,"Sulf1"
"ENSMUSG00000025938",14.5506183028003,3.45137149822859,0.892087578728939,4.93465214227662e-06,1.78803478095847e-05,"Slco5a1"
"ENSMUSG00000025930",6.59481491162247,3.81931552699109,1.25119984533186,2.95113500797879e-05,9.78628793885647e-05,"Msc"
"ENSMUSG00000092083",11.4686781205841,2.57904488785123,0.795749570874165,7.11092075197156e-05,0.000224569151689102,"Kcnb2"
"ENSMUSG00000100652",2.27688959654499,1.75187235176027,1.42877620122657,0.0124555347418603,0.0269608366858604,"Gm7634"
"ENSMUSG00000067795",18.859831977039,1.61773859052235,0.606469285855856,0.00062721427459925,0.00173820618053104,"4930444P10Rik"
"ENSMUSG00000025921",1951.82709527633,1.13221180007391,0.131788129784739,1.73734248219426e-18,1.61606859630681e-17,"Rdh10"
"ENSMUSG00000025777",2.49503409352683,1.97994408011799,1.44008147856569,0.0073971507702773,0.0168527966238267,"Gdap1"
"ENSMUSG00000067780",145.194976978451,2.34536480545216,0.244475860207113,1.19052690611061e-22,1.38054142892391e-21,"Pi15"
"ENSMUSG00000041859",439.272665667129,2.43196267760596,0.200193946312191,9.30768263482085e-35,1.89669510917964e-33,"Mcm3"
"ENSMUSG00000097934",3.55847299203809,1.58409750643409,1.35778166226668,0.0181060345259652,0.0376833636290101,"6720483E21Rik"
"ENSMUSG00000025931",105.980557521729,1.73282475486835,0.26392521313134,5.21229881694086e-12,3.13946822485322e-11,"Paqr8"
"ENSMUSG00000041809",53.8510640425276,1.97713645474078,0.419240570250893,2.23633023206164e-07,9.24073994502586e-07,"Efhc1"
