"Cluster","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Up","GO:0002520","immune system development","67/3006","239/28928",0.280334728033473,2.69777877995752,8.97499631974496,1.84067859620915e-14,3.58377200969863e-13,1.77209525001789e-13,"12487/54167/18566/21934/19264/26909/16184/13828/12125/56045/21939/20371/18033/17096/252838/12557/21812/12579/14726/74511/55985/14255/14056/12288/12267/12051/21803/21929/17863/21412/14728/73914/50931/234695/14241/56532/21943/16365/12501/12442/12773/21813/22778/171285/21414/22059/216892/15218/237877/57765/12775/15223/20471/53314/380797/16197/12524/77782/80859/12394/16994/16992/14991/12488/56708/70445/18034",67
"Up","GO:0042100","B cell proliferation","40/3006","102/28928",0.392156862745098,3.77389012824025,9.55672485424929,1.99719884876828e-14,3.87620903148602e-13,1.9166988285481e-13,"227059/12477/16331/19264/21939/74131/12229/17096/21898/12578/51797/22163/14284/108723/22177/12483/243958/12478/12484/24099/321019/81897/57916/237877/22780/217303/17260/17079/238875/380797/16019/16197/72049/105855/208154/80859/12575/224860/16149/56708",40
"Up","GO:0002827","positive regulation of T-helper 1 type immune response","16/3006","18/28928",0.888888888888889,8.55415095734457,10.9171631030342,2.22292948219432e-14,4.30070237044093e-13,2.12660130772101e-13,"214855/16177/16182/18173/18783/16963/27218/16176/192656/209590/244202/16161/50931/16173/12772/57765",16
"Up","GO:0048762","mesenchymal cell differentiation","71/3006","263/28928",0.269961977186312,2.59795744379429,8.86500618895731,2.5004126498623e-14,4.81835565578053e-13,2.38256930055759e-13,"98711/20353/227059/20846/18187/14268/22409/15559/14472/93840/226778/56177/24136/23892/16176/12156/71878/20613/192176/384009/21812/100182/56198/22417/14726/108151/20346/20348/16193/231858/14056/20355/16950/629378/18793/21803/101809/21804/11501/21412/216285/15364/13617/171463/94352/65100/17967/19378/21813/13813/68585/12842/12006/20682/13614/17260/22160/15375/20471/21809/14573/20356/15117/13731/20583/13837/20681/76905/12558/106957/17126",71
"Up","GO:0001961","positive regulation of cytokine-mediated signaling pathway","30/3006","61/28928",0.491803278688525,4.73282942312097,9.93834729017055,2.50620488210335e-14,4.81835565578053e-13,2.38256930055759e-13,"16177/12767/56489/22030/21939/58203/54651/12977/192656/16792/14581/26362/15458/54123/434341/12362/12363/17381/17394/16145/54396/246746/13614/547253/80285/83433/53603/72512/225471/16149",30
"Up","GO:0071622","regulation of granulocyte chemotaxis","32/3006","69/28928",0.463768115942029,4.46303528209282,9.8073744078405,2.85992660094985e-14,5.46566259665701e-13,2.70264813150065e-13,"12765/240873/20343/16963/27218/227541/21930/21825/16176/16803/66166/12977/57349/14747/71660/26903/12267/319430/12273/232983/13617/20312/76527/20296/20304/12775/13614/21828/19354/105855/58217/16149",32
"Up","GO:1903556","negative regulation of tumor necrosis factor superfamily cytokine production","33/3006","73/28928",0.452054794520548,4.35031307248517,9.75996399240263,2.86071693058356e-14,5.46566259665701e-13,2.70264813150065e-13,"13345/27218/16803/20371/56501/19260/21898/230738/21899/14255/93695/73149/474145/26888/319430/12051/26362/20128/21929/12484/14728/74048/16000/73914/50931/20312/110168/171285/216869/22160/19219/83433/225884",33
"Up","GO:0060541","respiratory system development","76/3006","293/28928",0.25938566552901,2.49617715649475,8.76557013401652,3.10997404832321e-14,5.92343814856095e-13,2.92900792194154e-13,"17681/98711/12825/11790/12654/93840/14118/14178/12156/14734/13607/14173/26570/381489/21923/74777/14726/14284/18595/666279/18590/114142/12638/16950/17313/19227/14709/21803/243931/52377/101772/21412/14219/12833/17172/16000/15364/14632/21853/58994/68790/15227/15209/20390/17387/14463/17381/20897/12306/19378/21813/16878/14172/216725/20692/16400/20682/15223/207607/14634/18109/20666/15375/20471/21809/17263/30051/21926/71461/74123/106522/14465/16948/18596/17126/15242",76
"Up","GO:0045824","negative regulation of innate immune response","43/3006","117/28928",0.367521367521368,3.53681241505593,9.36297905501041,3.21082443278069e-14,6.09659016911578e-13,3.01462773043545e-13,"26904/74748/102639543/545384/236312/226691/100040462/15950/63953/12258/56045/100340/55948/100038882/246727/23961/23960/246730/80782/243655/16643/21803/21929/11846/73914/434341/16365/17381/12768/171285/20877/216869/16859/80861/20723/20706/547253/84544/18712/21354/21355/14991/207521",43
"Up","GO:0046633","alpha-beta T cell proliferation","28/3006","54/28928",0.518518518518518,4.98992139178433,9.99354738534465,3.23270262446214e-14,6.11918678883529e-13,3.02580125441047e-13,"22637/12487/19264/16963/18106/16184/12505/20371/56501/19260/192656/108723/12144/12484/14728/74048/12501/16173/21813/12772/94176/16362/16859/20963/17869/12519/208154/320484",28
"Up","GO:0048661","positive regulation of smooth muscle cell proliferation","44/3006","122/28928",0.360655737704918,3.47074157695538,9.31274461572473,3.55868454134652e-14,6.71551147448561e-13,3.32067049833825e-13,"240725/20846/19225/18214/21825/17395/14173/16194/18124/21898/16476/18392/19204/16193/13874/11677/12267/16534/21803/233571/17863/16000/15368/17390/20312/58994/71785/16173/14678/21813/17874/20304/16416/13614/21752/16398/17869/22402/18591/11504/11629/21926/13653/18596",44
